DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60200280;Engerthstr./Traisengasse;Wien;90001;16.389.223;48.236.329
60200281;Englisch-Feld-Gasse;Wien;90001;16.535.999;48.209.924
60200282;Donaumarina;Wien;90001;16.430.968;48.206.122
60200283;Erdbergstr./Schlachthausg;Wien;90001;16.407.971;48.195.291
60200285;Erlaaer Straße;Wien;90001;16.316.532;48.141.849
60200286;Erlachplatz;Wien;90001;1.636.946;48.178.617
60200287;Erndtgasse;Wien;90001;16.322.658;48.237.322
60200288;Erzherzog-Karl-Straße;Wien;90001;16.453.228;48.229.567
60200289;Erdberg;Wien;90001;16.413.999;48.191.524
60200290;Donaustadtbrücke;Wien;90001;16.440.131;48.211.792
60200291;Eselstiege;Wien;90001;16.286.815;48.224.391
60200292;Eslarngasse;Wien;90001;1.639.588;48.196.728
60200293;Esterházygasse;Wien;90001;16.350.964;48.195.147
60200294;Etrichstraße;Wien;90001;16.461.439;48.148.436
60200295;Daumegasse;Wien;90001;16.374.392;48.163.987
60200296;Evangelischer Friedhof;Wien;90001;16.360.271;48.179.845
60200297;Eßling Schule;Wien;90001;1.652.636;4.821.409
60200298;Eßling Friedhof;Wien;90001;16.531.651;48.216.263
60200299;Aspernstraße;Wien;90001;16.474.761;48.222.446
60200300;Fasangasse;Wien;90001;16.385.028;4.818.841
60200301;Heiligenstadt 12.-Feb.-Pl;Wien;90001;16.362.714;48.248.928
60200302;Diesterweggasse;Wien;90001;16.306.336;48.193.758
60200303;Wattmanng./Elisabethallee;Wien;90001;16.295.358;48.176.383
60200304;Döblinger Frhf./Dahn-Str.;Wien;90001;16.325.991;48.240.039
60200305;Felmayergasse;Wien;90001;16.432.289;4.827.297
60200306;Fendigasse;Wien;90001;16.355.788;48.183.936
60200307;Sonnleithnergasse;Wien;90001;16.363.011;48.178.983
60200308;Gspöttgraben;Wien;90001;16.314.555;48.255.885
60200309;Fernsprechamt Heiligenst.;Wien;90001;16.360.576;48.254.126
60200311;Feuerwache Am Steinhof;Wien;90001;16.278.057;48.215.335
60200312;Feuerwache Grinzing;Wien;90001;16.332.495;4.826.153
60200314;Fickeysstraße;Wien;90001;16.423.557;48.167.241
60200315;Filmteichstraße;Wien;90001;1.639.685;48.152.626
60200316;Finsterbuschstraße Nord;Wien;90001;16.499.806;48.172.255
60200317;Billgasse;Wien;90001;16.483.358;48.224.439
60200318;Löschniggasse;Wien;90001;16.480.618;48.222.739
60200319;1. Haidequerstraße Mitte;Wien;90001;16.429.127;48.182.439
60200320;Dammhaufengasse;Wien;90001;16.447.237;4.819.565
60200321;Pfarrgasse/Traviatagasse;Wien;90001;16.343.176;48.142.592
60200322;Zimbagasse;Wien;90001;16.219.226;48.206.158
60200323;Auhof;Wien;90001;16.218.202;48.207.565
60200324;1. Haidequerstraße Süd;Wien;90001;16.428.138;48.180.917
60200325;Giefinggasse;Wien;90001;16.425.902;4.826.824
60200327;Rodaun Wohnheim;Wien;90001;16.228.973;48.127.257
60200328;Heinrich-von-Buol-Gasse;Wien;90001;16.425.704;48.264.951
60200329;Fischergrund;Wien;90001;16.440.885;48.215.521
60200330;Fichtnergasse;Wien;90001;16.288.882;48.187.122
60200331;Florian-Geyer-Gasse;Wien;90001;16.391.802;48.156.935
60200332;Florian-Hedorfer-Straße;Wien;90001;16.431.256;48.165.617
60200333;Florianigasse;Wien;90001;16.345.682;48.212.791
60200334;Floridsdorf;Wien;90001;164.003;48.256.794
60200335;Joseph-Lister-Gasse;Wien;90001;16.269.532;48.175.143
60200336;Flotowgasse;Wien;90001;16.338.361;48.240.589
60200337;Flugfeldstraße;Wien;90001;16.504.333;48.215.658
60200338;Flötzersteig;Wien;90001;16.278.856;48.203.835
60200339;Flötzersteigbrücke;Wien;90001;16.290.777;48.207.188
60200340;Mauerbachstr./Baumschule;Wien;90001;16.217.897;48.218.125
60200341;Forsthausgasse;Wien;90001;16.374.985;48.245.237
60200342;Frachtenbf. Lobau Hafen;Wien;90001;16.477.636;48.186.422
60200343;Franz-Asenbauer-Gasse;Wien;90001;16.271.275;48.154.741
60200344;Franz-Josef-Spital;Wien;90001;16.348.889;48.174.915
60200345;Franz-Josefs-Bahnhof;Wien;90001;16.361.151;48.225.989
60200346;Krankenans Rudolfstiftung;Wien;90001;16.392.287;4.819.662
60200347;Franz-Pletersky-Weg;Wien;90001;16.450.623;4.821.327
60200348;Franzensbrücke;Wien;90001;1.639.173;48.213.791
60200349;Franzosenweg;Wien;90001;16.382.791;48.140.153
60200350;Forchheimergasse;Wien;90001;16.307.809;48.140.956
60200351;Freesienweg;Wien;90001;16.242.627;4.820.459
60200352;Freiheitsplatz;Wien;90001;16.416.245;48.301.434
60200353;Freihofsiedlung;Wien;90001;16.450.273;48.242.527
60200354;Kraftwerk Freudenau;Wien;90001;16.479.136;48.174.424
60200355;Freyenthurmgasse;Wien;90001;16.256.794;4.820.544
60200357;Friedensbrücke;Wien;90001;16.364.879;4.822.703
60200358;Baumgarten;Wien;90001;1.627.149;48.199.063
60200359;Friedensgasse;Wien;90001;16.402.465;48.203.255
60200360;Mariabrunn Kirche;Wien;90001;16.231.416;48.207.733
60200361;Friedjunggasse;Wien;90001;16.419.128;48.165.222
60200362;Obkirchergasse;Wien;90001;16.342.134;48.245.734
60200363;Friedrich-Engels-Platz;Wien;90001;16.379.728;48.244.274
60200364;Friedstraße;Wien;90001;16.404.638;48.245.441
60200365;Frödenplatz;Wien;90001;16.358.654;48.155.305
60200366;Frömmlgasse;Wien;90001;16.392.125;4.825.625
60200367;Fröschelgasse;Wien;90001;1.632.052;48.251.931
60200368;Flurschützstr/Längenfeldg;Wien;90001;16.340.068;48.179.354
60200369;Fultonstraße;Wien;90001;16.414.044;48.253.217
60200370;Funkengerngasse;Wien;90001;16.293.436;48.215.383
60200371;Seegasse;Wien;90001;16.361.394;48.223.068
60200372;Ottakringer Friedhof;Wien;90001;16.301.521;48.214.078
60200373;Kaltenleutgebn.Str. 10/63;Wien;90001;16.246.319;48.131.826
60200374;Altes Gasthaus Maut;Wien;90001;16.232.881;48.129.086
60200375;Gasthaus Zum Friedhof;Wien;90001;16.433.214;48.296.456
60200376;Gatterburggasse;Wien;90001;16.349.141;4.823.959
60200377;Gattergasse;Wien;90001;16.422.551;48.160.512
60200378;Gatterhölzl;Wien;90001;1.631.876;4.817.588
60200379;Gaudenzdorfer Gürtel;Wien;90001;16.343.095;48.187.242
60200380;Gaußplatz;Wien;90001;1.636.991;48.226.282
60200381;Gaßmannstraße;Wien;90001;16.313.343;48.174.772
60200382;Geiereckstraße;Wien;90001;16.399.222;48.175.035
60200383;Geistingergasse;Wien;90001;1.636.275;48.245.369
60200384;Gellertplatz;Wien;90001;16.382.639;48.175.011
60200385;Gemeindeberggasse;Wien;90001;16.264.861;48.181.181
60200386;General-Motors-Werk;Wien;90001;1.650.313;48.217.712
60200387;Genochplatz;Wien;90001;16.455.798;4.822.916
60200388;Brünner Str./Hanreiterg.;Wien;90001;16.413.011;48.284.143
60200389;Gerhardusgasse;Wien;90001;16.366.253;48.231.698
60200390;Geringergasse;Wien;90001;16.425.964;48.168.002
60200391;Gernotgasse;Wien;90001;16.533.044;48.219.741
60200392;Geroldgasse;Wien;90001;1.628.359;48.239.063
60200393;Gersthof;Wien;90001;16.329.117;48.231.159
60200394;Ehrenpreisgasse;Wien;90001;16.461.142;48.218.071
60200395;Gersthofer Friedhof;Wien;90001;16.316.199;48.229.974
60200396;Getreidemarkt;Wien;90001;1.636.293;48.201.812
60200397;Geusaugasse;Wien;90001;1.639.429;48.203.853
60200399;Zippererstraße;Wien;90001;16.411.124;48.179.498
60200400;Heinrich-Drimmel-Platz;Wien;90001;16.391.119;48.187.949
60200401;Ghelengasse;Wien;90001;16.259.507;481.803
60200403;Gladiolenweg;Wien;90001;16.479.055;4.823.755
60200404;Glanzing;Wien;90001;16.321.553;48.243.251
60200405;Glatzgasse;Wien;90001;16.353.174;48.233.349
60200406;Glawatschweg;Wien;90001;1.626.619;48.163.676
60200407;Glockengasse;Wien;90001;1.638.174;48.217.837
60200408;Gloriettegasse;Wien;90001;16.292.062;48.182.996
60200409;Glossystraße;Wien;90001;16.235.953;48.212.438
60200410;Gobergasse;Wien;90001;16.268.616;48.179.366
60200411;Goethehof;Wien;90001;1.641.938;48.229.196
60200412;Gogolgasse;Wien;90001;16.275.856;48.182.792
60200413;Goldhammergasse;Wien;90001;16.322.757;48.144.307
60200414;Gotthelfgasse;Wien;90001;16.472.686;48.227.275
60200415;Graben/Petersplatz;Wien;90001;16.369.568;48.209.158
60200416;Graf-Seilern-Gasse;Wien;90001;16.308.231;48.170.656
60200417;Grasbergergasse;Wien;90001;16.400.668;4.818.644
60200418;Grasgasse;Wien;90001;16.282.252;48.229.956
60200419;Gredlerstraße;Wien;90001;16.379.872;48.214.006
60200420;Gregor-Mendel-Straße;Wien;90001;16.337.759;48.233.858
60200421;Gregorygasse;Wien;90001;16.305.393;48.157.204
60200422;Eßling, Schippanisiedlung;Wien;90001;165.443;48.219.375
60200423;Greutberggasse;Wien;90001;16.205.159;4.822.788
60200424;Griegstraße;Wien;90001;16.375.317;48.249.215
60200425;Enkplatz;Wien;90001;1.641.531;4.817.434
60200426;Grinzing;Wien;90001;16.342.152;4.825.549
60200427;Am Bahnhof;Wien;90001;1.645.109;48.223.948
