GENESIS-Tabelle: 12521-0021
Foreigners: Länder, reference date, sex/age years/marital;;;;;
status, country groups/citizenship;;;;;
Statistics of foreigners;;;;;
Foreigners (number);;;;;
;;;Sex;Sex;Sex
;;;Male;Female;Total
2019-12-31;Bremen;Central America and Caribbean;260;315;575
2019-12-31;Bremen;South America;540;805;1345
2019-12-31;Bremen;Asia;19985;15615;35600
2019-12-31;Bremen;South West Asia;13710;10065;23775
2019-12-31;Bremen;South and South East Asia;2595;2640;5230
2019-12-31;Bremen;East and Central Asia;3685;2910;6595
2019-12-31;Bremen;Australia and Oceania;95;65;160
2019-12-31;Bremen;Countries of origin of foreign workers;24150;21115;45265
2019-12-31;Bremen;Territory of former Yugoslavia;5890;5105;10995
2019-12-31;Bremen;Territory of former Serbia and Montenegro;3195;2885;6080
2019-12-31;Bremen;Territory of the former Soviet Union;3680;5145;8825
2019-12-31;Bremen;Territory of former Czechoslovakia;205;190;395
2019-12-31;Bremen;United Kingdom incl. British overseas territories;700;345;1045
2019-12-31;Hamburg;Total;167820;149740;317560
2019-12-31;Hamburg;Europe;96880;92365;189245
2019-12-31;Hamburg;EU-28 (since 2013-07-01);53700;48965;102665
2019-12-31;Hamburg;EU-28 third countries (since 2013-07-01);114120;100775;214895
2019-12-31;Hamburg;EU-27 (until 2013-06-30);50175;45880;96050
2019-12-31;Hamburg;EU-27 third countries (until 2013-06-30);117645;103865;221510
2019-12-31;Hamburg;EU-25 (until 2006-12-31);40810;37760;78570
2019-12-31;Hamburg;EU-25 third countries (until 2006-12-31);127010;111980;238990
2019-12-31;Hamburg;EU-15 (until 2004-04-30);26355;22610;48965
2019-12-31;Hamburg;EU-15 third countries (until 2004-04-30);141465;127130;268595
2019-12-31;Hamburg;EC-12 (until 1994-12-31);23525;19385;42915
2019-12-31;Hamburg;EC-12 third countries (until 1994-12-31);144290;130355;274645
2019-12-31;Hamburg;EC-10 (until 1985-12-31);15470;11970;27445
2019-12-31;Hamburg;EC-10 third countries (until 1985-12-31);152345;137770;290120
2019-12-31;Hamburg;EC-9 (until 1980-12-31);11960;9130;21095
2019-12-31;Hamburg;EC-9 third countries (until 1980-12-31);155860;140610;296470
2019-12-31;Hamburg;EEC-6 (until 1972-12-31);8995;6895;15890
2019-12-31;Hamburg;EEC-6 third countries (until 1972-12-31);158820;142845;301670
2019-12-31;Hamburg;Africa;14905;10170;25075
2019-12-31;Hamburg;North Africa;3935;2040;5970
2019-12-31;Hamburg;West Africa;6950;5640;12590
2019-12-31;Hamburg;Central Africa;400;250;650
2019-12-31;Hamburg;East Africa;3205;1840;5045
2019-12-31;Hamburg;Southern Africa;415;400;815
2019-12-31;Hamburg;America;6715;7540;14260
2019-12-31;Hamburg;North America;2830;2560;5390
2019-12-31;Hamburg;Central America and Caribbean;1095;1145;2240
2019-12-31;Hamburg;South America;2795;3835;6630
2019-12-31;Hamburg;Asia;46790;37995;84785
2019-12-31;Hamburg;South West Asia;21020;14580;35600
2019-12-31;Hamburg;South and South East Asia;7850;7730;15575
2019-12-31;Hamburg;East and Central Asia;17920;15690;33610
2019-12-31;Hamburg;Australia and Oceania;615;485;1100
2019-12-31;Hamburg;Countries of origin of foreign workers;56660;49505;106165
2019-12-31;Hamburg;Territory of former Yugoslavia;15505;13860;29365
2019-12-31;Hamburg;Territory of former Serbia and Montenegro;5615;5595;11210
2019-12-31;Hamburg;Territory of the former Soviet Union;8680;13655;22335
2019-12-31;Hamburg;Territory of former Czechoslovakia;505;705;1210
2019-12-31;Hamburg;United Kingdom incl. British overseas territories;1960;1185;3145
2019-12-31;Hessen;Total;590740;530490;1121230
2019-12-31;Hessen;Europe;407065;370705;777770
2019-12-31;Hessen;EU-28 (since 2013-07-01);269010;231385;500395
2019-12-31;Hessen;EU-28 third countries (since 2013-07-01);321730;299105;620840
2019-12-31;Hessen;EU-27 (until 2013-06-30);239460;205210;444670
2019-12-31;Hessen;EU-27 third countries (until 2013-06-30);351280;325285;676560
2019-12-31;Hessen;EU-25 (until 2006-12-31);172590;152965;325555
2019-12-31;Hessen;EU-25 third countries (until 2006-12-31);418150;377525;795675
2019-12-31;Hessen;EU-15 (until 2004-04-30);111870;95140;207010
2019-12-31;Hessen;EU-15 third countries (until 2004-04-30);478870;435350;914220
2019-12-31;Hessen;EC-12 (until 1994-12-31);103395;86380;189775
2019-12-31;Hessen;EC-12 third countries (until 1994-12-31);487345;444110;931455
2019-12-31;Hessen;EC-10 (until 1985-12-31);81190;66410;147600
2019-12-31;Hessen;EC-10 third countries (until 1985-12-31);509550;464085;973635
2019-12-31;Hessen;EC-9 (until 1980-12-31);61805;49510;111320
2019-12-31;Hessen;EC-9 third countries (until 1980-12-31);528935;480980;1009915
2019-12-31;Hessen;EEC-6 (until 1972-12-31);54810;44490;99295
2019-12-31;Hessen;EEC-6 third countries (until 1972-12-31);535930;486005;1021935
2019-12-31;Hessen;Africa;41830;34930;76760
2019-12-31;Hessen;North Africa;14470;12745;27210
2019-12-31;Hessen;West Africa;4830;3900;8730
2019-12-31;Hessen;Central Africa;1770;1615;3385
2019-12-31;Hessen;East Africa;20070;15840;35910
2019-12-31;Hessen;Southern Africa;690;830;1520
2019-12-31;Hessen;America;15410;16335;31745
2019-12-31;Hessen;North America;9995;7095;17090
2019-12-31;Hessen;Central America and Caribbean;1685;2280;3965
2019-12-31;Hessen;South America;3735;6960;10690
2019-12-31;Hessen;Asia;121710;105100;226810
2019-12-31;Hessen;South West Asia;51920;38025;89945
2019-12-31;Hessen;South and South East Asia;29975;31445;61420
2019-12-31;Hessen;East and Central Asia;39815;35625;75440
2019-12-31;Hessen;Australia and Oceania;705;575;1285
2019-12-31;Hessen;Countries of origin of foreign workers;248265;219705;467970
2019-12-31;Hessen;Territory of former Yugoslavia;73205;63690;136895
2019-12-31;Hessen;Territory of former Serbia and Montenegro;24665;21275;45935
2019-12-31;Hessen;Territory of the former Soviet Union;20575;35120;55695
2019-12-31;Hessen;Territory of former Czechoslovakia;3610;5055;8665
2019-12-31;Hessen;United Kingdom incl. British overseas territories;5305;3585;8890
2019-12-31;Mecklenburg-Vorpommern;Total;45750;33890;79640
2019-12-31;Mecklenburg-Vorpommern;Europe;25285;19725;45010
2019-12-31;Mecklenburg-Vorpommern;EU-28 (since 2013-07-01);19085;12990;32075
2019-12-31;Mecklenburg-Vorpommern;EU-28 third countries (since 2013-07-01);26665;20900;47565
2019-12-31;Mecklenburg-Vorpommern;EU-27 (until 2013-06-30);18400;12735;31135
2019-12-31;Mecklenburg-Vorpommern;EU-27 third countries (until 2013-06-30);27350;21155;48505
2019-12-31;Mecklenburg-Vorpommern;EU-25 (until 2006-12-31);14160;10355;24515
2019-12-31;Mecklenburg-Vorpommern;EU-25 third countries (until 2006-12-31);31590;23535;55125
2019-12-31;Mecklenburg-Vorpommern;EU-15 (until 2004-04-30);3890;2540;6430
2019-12-31;Mecklenburg-Vorpommern;EU-15 third countries (until 2004-04-30);41865;31350;73215
2019-12-31;Mecklenburg-Vorpommern;EC-12 (until 1994-12-31);3370;2100;5470
2019-12-31;Mecklenburg-Vorpommern;EC-12 third countries (until 1994-12-31);42380;31790;74175
2019-12-31;Mecklenburg-Vorpommern;EC-10 (until 1985-12-31);2805;1625;4430
2019-12-31;Mecklenburg-Vorpommern;EC-10 third countries (until 1985-12-31);42945;32265;75210
2019-12-31;Mecklenburg-Vorpommern;EC-9 (until 1980-12-31);2090;1205;3295
2019-12-31;Mecklenburg-Vorpommern;EC-9 third countries (until 1980-12-31);43660;32685;76350
2019-12-31;Mecklenburg-Vorpommern;EEC-6 (until 1972-12-31);1700;1010;2710
2019-12-31;Mecklenburg-Vorpommern;EEC-6 third countries (until 1972-12-31);44050;32880;76930
2019-12-31;Mecklenburg-Vorpommern;Africa;2975;1485;4460
2019-12-31;Mecklenburg-Vorpommern;North Africa;840;350;1190
2019-12-31;Mecklenburg-Vorpommern;West Africa;1015;500;1510
2019-12-31;Mecklenburg-Vorpommern;Central Africa;30;20;50
2019-12-31;Mecklenburg-Vorpommern;East Africa;1050;585;1635
2019-12-31;Mecklenburg-Vorpommern;Southern Africa;45;35;75
2019-12-31;Mecklenburg-Vorpommern;America;780;835;1615
2019-12-31;Mecklenburg-Vorpommern;North America;265;235;500
2019-12-31;Mecklenburg-Vorpommern;Central America and Caribbean;220;220;445
2019-12-31;Mecklenburg-Vorpommern;South America;295;380;675
2019-12-31;Mecklenburg-Vorpommern;Asia;15560;11120;26680
2019-12-31;Mecklenburg-Vorpommern;South West Asia;10175;6805;16980
2019-12-31;Mecklenburg-Vorpommern;South and South East Asia;2550;2105;4655
2019-12-31;Mecklenburg-Vorpommern;East and Central Asia;2835;2215;5045
2019-12-31;Mecklenburg-Vorpommern;Australia and Oceania;105;40;145
2019-12-31;Mecklenburg-Vorpommern;Countries of origin of foreign workers;5435;3190;8625
2019-12-31;Mecklenburg-Vorpommern;Territory of former Yugoslavia;1860;1160;3020
2019-12-31;Mecklenburg-Vorpommern;Territory of former Serbia and Montenegro;535;485;1020
2019-12-31;Mecklenburg-Vorpommern;Territory of the former Soviet Union;5885;7200;13085
2019-12-31;Mecklenburg-Vorpommern;Territory of former Czechoslovakia;325;400;720
2019-12-31;Mecklenburg-Vorpommern;United Kingdom incl. British overseas territories;245;120;370
2019-12-31;Niedersachsen;Total;457315;383850;841165
2019-12-31;Niedersachsen;Europe;290985;251170;542155
2019-12-31;Niedersachsen;EU-28 (since 2013-07-01);196960;152585;349545
2019-12-31;Niedersachsen;EU-28 third countries (since 2013-07-01);260350;231270;491620
2019-12-31;Niedersachsen;EU-27 (until 2013-06-30);190170;147460;337630
2019-12-31;Niedersachsen;EU-27 third countries (until 2013-06-30);267145;236390;503535
2019-12-31;Niedersachsen;EU-25 (until 2006-12-31);138865;111430;250295
2019-12-31;Niedersachsen;EU-25 third countries (until 2006-12-31);318445;272425;590870
2019-12-31;Niedersachsen;EU-15 (until 2004-04-30);69440;53350;122790
2019-12-31;Niedersachsen;EU-15 third countries (until 2004-04-30);387875;330500;718375
2019-12-31;Niedersachsen;EC-12 (until 1994-12-31);64890;48605;113495
2019-12-31;Niedersachsen;EC-12 third countries (until 1994-12-31);392425;335245;727670
2019-12-31;Niedersachsen;EC-10 (until 1985-12-31);53840;38945;92785
2019-12-31;Niedersachsen;EC-10 third countries (until 1985-12-31);403470;344910;748380
2019-12-31;Niedersachsen;EC-9 (until 1980-12-31);43170;30800;73970
2019-12-31;Niedersachsen;EC-9 third countries (until 1980-12-31);414145;353055;767195
2019-12-31;Niedersachsen;EEC-6 (until 1972-12-31);37420;27610;65030
2019-12-31;Niedersachsen;EEC-6 third countries (until 1972-12-31);419890;356245;776135
2019-12-31;Niedersachsen;Africa;26865;15155;42015
2019-12-31;Niedersachsen;North Africa;6680;3705;10380
2019-12-31;Niedersachsen;West Africa;8505;4605;13110
2019-12-31;Niedersachsen;Central Africa;5300;2035;7335
2019-12-31;Niedersachsen;East Africa;5530;3830;9360
2019-12-31;Niedersachsen;Southern Africa;850;975;1830
2019-12-31;Niedersachsen;America;8020;9560;17580
2019-12-31;Niedersachsen;North America;3310;3100;6410
2019-12-31;Niedersachsen;Central America and Caribbean;1450;1870;3320
2019-12-31;Niedersachsen;South America;3260;4585;7850
2019-12-31;Niedersachsen;Asia;123710;102335;226045
2019-12-31;Niedersachsen;South West Asia;86245;66850;153095
2019-12-31;Niedersachsen;South and South East Asia;14395;16560;30955
2019-12-31;Niedersachsen;East and Central Asia;23065;18930;41995
2019-12-31;Niedersachsen;Australia and Oceania;600;460;1065
2019-12-31;Niedersachsen;Countries of origin of foreign workers;125125;107010;232135
2019-12-31;Niedersachsen;Territory of former Yugoslavia;36655;32290;68950
