STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
        430;19640224;    5;   0.0;   0;   0;   0;eor
        430;19640225;    5;   0.0;   0;   0;   0;eor
        430;19640226;    5;   0.0;   0;   0;   0;eor
        430;19640227;    5;   0.0;   0;   0;   0;eor
        430;19640228;    5;   0.0;   0;   0;   0;eor
        430;19640229;    5;   0.0;   0;   0;   0;eor
        430;19640301;    5;   0.0;   0;   0;   0;eor
        430;19640302;    5;   0.0;   7;   0;   0;eor
        430;19640303;    5;   0.0;   7;   0;   0;eor
        430;19640304;    5;   0.0;   7;   0;   0;eor
        430;19640305;    5;   0.1;   7;   0;   0;eor
        430;19640306;    5;   0.0;   7;   0;   0;eor
        430;19640307;    5;   0.0;   0;   0;   0;eor
        430;19640308;    5;   0.0;   0;   0;   0;eor
        430;19640309;    5;   0.0;   0;   0;   0;eor
        430;19640310;    5;   0.0;   0;   0;   0;eor
        430;19640311;    5;   0.0;   0;   0;   0;eor
        430;19640312;    5;   0.0;   0;   0;   0;eor
        430;19640313;    5;   0.0;   0;   0;   0;eor
        430;19640314;    5;   0.0;   7;   0;   0;eor
        430;19640315;    5;   0.0;   0;   0;   0;eor
        430;19640316;    5;   0.6;   7;   0;   0;eor
        430;19640317;    5;   0.0;   7;   1;   1;eor
        430;19640318;    5;   0.2;   7;   0;   0;eor
        430;19640319;    5;   0.0;   7;   0;   0;eor
        430;19640320;    5;   7.0;   8;   0;   0;eor
        430;19640321;    5;   0.8;   1;   0;   0;eor
        430;19640322;    5;   0.0;   0;   0;   0;eor
        430;19640323;    5;   0.0;   0;   0;   0;eor
        430;19640324;    5;   0.0;   0;   0;   0;eor
        430;19640325;    5;   3.7;   1;   0;   0;eor
        430;19640326;    5;   0.0;   7;   0;   0;eor
        430;19640327;    5;   0.6;   8;   0;   0;eor
        430;19640328;    5;   8.2;   8;   0;   0;eor
        430;19640329;    5;  12.1;   8;   0;   0;eor
        430;19640330;    5;   0.1;   8;   0;   0;eor
        430;19640331;    5;   0.5;   1;   0;   0;eor
        430;19640401;    5;   7.5;   8;   0;   0;eor
        430;19640402;    5;   0.0;   1;   0;   0;eor
        430;19640403;    5;   1.4;   1;   0;   0;eor
        430;19640404;    5;   0.6;   1;   0;   0;eor
        430;19640405;    5;   0.0;   8;   0;   0;eor
        430;19640406;    5;   0.0;   0;   0;   0;eor
        430;19640407;    5;   3.1;   8;   0;   0;eor
        430;19640408;    5;   3.2;   1;   0;   0;eor
        430;19640409;    5;   1.9;   1;   0;   0;eor
        430;19640410;    5;   0.0;   0;   0;   0;eor
        430;19640411;    5;   0.0;   1;   0;   0;eor
        430;19640412;    5;   0.0;   1;   0;   0;eor
        430;19640413;    5;   1.3;   1;   0;   0;eor
        430;19640414;    5;   4.5;   1;   0;   0;eor
        430;19640415;    5;   3.3;   1;   0;   0;eor
        430;19640416;    5;   0.0;   0;   0;   0;eor
        430;19640417;    5;   0.0;   0;   0;   0;eor
        430;19640418;    5;   0.0;   0;   0;   0;eor
        430;19640419;    5;   0.0;   0;   0;   0;eor
        430;19640420;    5;   6.9;   1;   0;   0;eor
        430;19640421;    5;   2.6;   1;   0;   0;eor
        430;19640422;    5;   0.7;   1;   0;   0;eor
        430;19640423;    5;   0.0;   1;   0;   0;eor
        430;19640424;    5;   0.0;   0;   0;   0;eor
        430;19640425;    5;   0.0;   1;   0;   0;eor
        430;19640426;    5;   0.0;   0;   0;   0;eor
        430;19640427;    5;   0.0;   0;   0;   0;eor
        430;19640428;    5;   1.1;   1;   0;   0;eor
        430;19640429;    5;   1.9;   1;   0;   0;eor
        430;19640430;    5;   1.4;   1;   0;   0;eor
        430;19640501;    5;   4.7;   1;   0;   0;eor
        430;19640502;    5;   1.0;   1;   0;   0;eor
        430;19640503;    5;  15.2;   1;   0;   0;eor
        430;19640504;    5;   1.2;   1;   0;   0;eor
        430;19640505;    5;   8.3;   1;   0;   0;eor
        430;19640506;    5;   0.0;   0;   0;   0;eor
        430;19640507;    5;   0.0;   0;   0;   0;eor
        430;19640508;    5;   2.7;   1;   0;   0;eor
        430;19640509;    5;   0.0;   0;   0;   0;eor
        430;19640510;    5;   1.2;   1;   0;   0;eor
        430;19640511;    5;   0.0;   1;   0;   0;eor
        430;19640512;    5;   0.0;   0;   0;   0;eor
        430;19640513;    5;   8.2;   1;   0;   0;eor
        430;19640514;    5;   5.0;   1;   0;   0;eor
        430;19640515;    5;   0.0;   0;   0;   0;eor
        430;19640516;    5;   0.0;   0;   0;   0;eor
        430;19640517;    5;   0.0;   1;   0;   0;eor
        430;19640518;    5;   0.0;   0;   0;   0;eor
        430;19640519;    5;   0.0;   1;   0;   0;eor
        430;19640520;    5;   4.2;   1;   0;   0;eor
        430;19640521;    5;   0.2;   1;   0;   0;eor
        430;19640522;    5;   0.0;   0;   0;   0;eor
        430;19640523;    5;   0.0;   0;   0;   0;eor
        430;19640524;    5;   0.0;   0;   0;   0;eor
        430;19640525;    5;   0.0;   0;   0;   0;eor
