GENESIS-Tabelle: 46251-0006
Kraftfahrzeugbestand: Kreise, Stichtag, Kraftfahrzeugarten;;;;;;;;;;;;;;;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;;;;;;;;;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;;;;;;;;;;;;;;;
;;;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten
;;;Kfz;Krafträder;Leichtkrafträder;Motorräder;Pkw;Pkw mit Ottomotor;Pkw mit Dieselmotor;Kraftomnibusse;Lkw;Lkw mit Spezialaufbau;Zugmaschinen;Gewöhnliche Zugmaschinen;Sattelzugmaschinen;Ackerschlepper;Übrige Kfz;Wohnmobile;Kfz-Anhänger;Kfz-Anhänger zur Lastenbeförderung;Sattelanhänger
01.01.2019;05116;Mönchengladbach, kreisfreie Stadt;158305;10094;-;9820;137330;95203;38244;302;8647;282;1491;-;428;1063;441;1311;12518;6449;601
01.01.2019;05117;Mülheim an der Ruhr, kreisfreie Stadt;106302;7435;-;7298;93005;67862;22980;36;4784;127;671;-;240;431;371;859;7306;3538;317
01.01.2019;05119;Oberhausen, kreisfreie Stadt;125721;9038;-;8843;110253;82528;24916;161;5215;141;585;-;302;283;469;865;8634;3981;382
01.01.2019;05120;Remscheid, kreisfreie Stadt;71398;5292;-;5117;61345;43693;16403;101;3687;99;746;-;284;462;227;538;5667;2836;472
01.01.2019;05122;Solingen, kreisfreie Stadt;107105;8526;-;8325;92587;66813;23568;110;4964;109;636;-;126;510;282;964;7673;3988;213
01.01.2019;05124;Wuppertal, kreisfreie Stadt;199730;16504;-;16085;171706;121020;46458;356;9001;276;1495;-;551;944;668;1618;12784;6237;660
01.01.2019;05154;Kleve, Landkreis;227077;14795;-;14274;190470;112021;70643;252;12011;316;8489;-;1327;7162;1060;2900;34110;19445;1801
01.01.2019;05158;Mettmann, Landkreis;341836;25254;-;24746;293925;201143;85785;173;18074;355;3149;-;975;2174;1261;3202;24142;11773;1404
01.01.2019;05162;Rhein-Kreis Neuss;317762;22576;-;22057;271270;184844;79880;339;17608;643;4934;-;1481;3453;1035;2556;25093;12630;2297
01.01.2019;05166;Viersen, Landkreis;221752;15577;-;15146;186490;124141;56148;267;12535;464;5690;-;1194;4496;1193;2535;27762;13684;1703
01.01.2019;05170;Wesel, Landkreis;331065;24159;-;23553;282851;192891;80768;560;14816;464;7106;-;1521;5585;1573;3415;39587;21355;3261
01.01.2019;05313;Aachen, kreisfreie Stadt (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;05314;Bonn, kreisfreie Stadt;263072;11049;-;10820;174990;102319;69165;271;74905;635;836;-;172;664;1021;1475;10940;5501;593
01.01.2019;05315;Köln, kreisfreie Stadt;559093;38700;-;37843;482847;318983;151837;1038;31012;740;3132;-;1722;1410;2364;5312;31056;14234;2312
01.01.2019;05316;Leverkusen, kreisfreie Stadt;102748;7346;-;7161;89605;62362;25049;199;4368;150;806;-;211;595;424;830;7075;3507;357
01.01.2019;05334;Städteregion Aachen, Landkreis;338090;24793;-;24192;290230;193536;87987;614;15716;557;5508;-;1554;3954;1229;3402;34775;18210;2103
01.01.2019;05354;Aachen, Landkreis (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;05358;Düren, Landkreis;191659;15512;-;15014;159905;107076;49038;367;9271;266;5743;-;841;4902;861;1984;25352;14521;1166
01.01.2019;05362;Rhein-Erft-Kreis;325381;24086;-;23475;276885;191706;79385;424;17940;673;4774;-;1537;3237;1272;3091;28563;14905;2317
01.01.2019;05366;Euskirchen, Landkreis;157952;11833;-;11328;128368;82802;42570;262;8998;179;7851;-;630;7221;640;1706;24339;14618;1001
01.01.2019;05370;Heinsberg, Landkreis;187257;13791;-;13319;157882;98380;53218;310;9279;165;5280;-;714;4566;715;2112;28117;15979;1063
01.01.2019;05374;Oberbergischer Kreis;210621;15940;-;15231;175587;116148;56061;384;9849;280;8108;-;425;7683;753;2208;26452;16020;673
01.01.2019;05378;Rheinisch-Bergischer Kreis;209889;17542;-;17050;178601;124425;50057;221;9293;214;3598;-;238;3360;634;2347;20016;10672;374
01.01.2019;05382;Rhein-Sieg-Kreis;429437;34060;-;33058;362456;245503;108360;458;20552;635;10196;-;1107;9089;1715;4385;44125;24862;1439
01.01.2019;05512;Bottrop, kreisfreie Stadt;78027;6145;-;6031;67632;50932;14911;63;3171;115;786;-;274;512;230;529;5628;2896;498
01.01.2019;05513;Gelsenkirchen, kreisfreie Stadt;139528;9158;-;8883;121583;90135;28093;350;6976;170;999;-;561;438;462;731;8705;4405;678
01.01.2019;05515;Münster, kreisfreie Stadt;168450;10498;-;10268;145681;91196;51171;274;8788;226;2496;-;641;1855;713;2237;16548;8506;889
01.01.2019;05554;Borken, Landkreis;269343;16476;-;15915;221053;127247;87081;400;16567;644;13217;-;2320;10897;1630;2960;46373;27007;3347
01.01.2019;05558;Coesfeld, Landkreis;167950;12422;-;12026;137930;85245;49147;287;8140;329;8228;-;758;7470;943;2179;27356;16111;1209
01.01.2019;05562;Recklinghausen, Landkreis;405577;32199;-;31501;350049;254936;86272;541;15735;475;5674;-;1748;3926;1379;3410;38443;20435;2629
01.01.2019;05566;Steinfurt, Landkreis;324628;22224;-;21521;268892;166408;96720;490;16488;750;14931;-;2557;12374;1603;3767;55566;33193;3885
01.01.2019;05570;Warendorf, Landkreis;203791;14258;-;13882;169470;110300;55795;224;9120;334;9788;-;1330;8458;931;2083;31087;19349;2001
01.01.2019;05711;Bielefeld, kreisfreie Stadt;193730;11673;-;11359;169108;110894;54152;354;10043;364;1885;-;570;1315;667;1990;16154;8220;801
01.01.2019;05754;Gütersloh, Landkreis;271173;17888;-;17321;225416;146951;74574;424;15936;618;10300;-;2587;7713;1209;2563;40952;24455;7067
01.01.2019;05758;Herford, Landkreis;187786;12711;-;12403;160386;110100;47256;229;9402;386;4406;-;812;3594;652;1743;24514;14202;1748
01.01.2019;05762;Höxter, Landkreis;109380;8103;-;7705;88125;56859;29583;175;5047;189;7354;-;497;6857;576;845;18205;11803;780
01.01.2019;05766;Lippe, Landkreis;251762;17876;-;17348;213881;142532;66983;467;11608;313;6948;-;1019;5929;982;2740;35658;21234;1520
01.01.2019;05770;Minden-Lübbecke, Landkreis;239151;14909;-;14454;199394;134373;61137;214;13391;531;10140;-;1232;8908;1103;2028;36827;23643;1972
01.01.2019;05774;Paderborn, Landkreis;214565;14549;-;14053;179389;113030;62155;316;10468;303;8950;-;1517;7433;893;1963;29079;17640;2116
01.01.2019;05911;Bochum, kreisfreie Stadt;228126;15491;-;15155;197114;146460;46020;217;13429;223;1151;-;482;669;724;1565;14194;6754;642
01.01.2019;05913;Dortmund, kreisfreie Stadt;327403;22826;-;22324;286461;201981;78188;417;14508;555;2242;-;1277;965;949;2326;25008;11739;1899
01.01.2019;05914;Hagen, kreisfreie Stadt;113219;8636;-;8405;97430;70144;25376;217;5245;204;1245;-;590;655;446;822;8364;4279;899
01.01.2019;05915;Hamm, kreisfreie Stadt;110465;6986;-;6759;95930;66762;27340;258;5117;201;1808;-;460;1348;366;898;12662;7195;794
01.01.2019;05916;Herne, kreisfreie Stadt;87756;6406;-;6259;76627;57695;16983;170;3878;59;317;-;135;182;358;488;5687;2910;154
01.01.2019;05954;Ennepe-Ruhr-Kreis;231048;20369;-;19919;196117;141229;50669;402;10003;375;3388;-;702;2686;769;2279;20396;10328;1291
01.01.2019;05958;Hochsauerlandkreis;199198;13916;-;13309;164424;104988;56899;432;9896;379;9617;-;995;8622;913;1799;30122;18343;1558
01.01.2019;05962;Märkischer Kreis;292878;21769;-;21051;250554;173310;72492;452;12722;542;6273;-;1114;5159;1108;2756;29248;15785;1895
01.01.2019;05966;Olpe, Landkreis;106885;7470;-;7212;88395;57517;29682;115;5705;189;4767;-;498;4269;433;734;14336;8485;799
01.01.2019;05970;Siegen-Wittgenstein, Landkreis;209031;15158;-;14689;174015;118372;53117;231;9422;324;9359;-;1166;8193;846;1695;26379;15751;2024
01.01.2019;05974;Soest, Landkreis;223614;16234;-;15777;187235;122768;60770;203;9926;307;8843;-;1497;7346;1173;2390;33526;19742;2325
01.01.2019;05978;Unna, Landkreis;273979;21052;-;20539;236533;166685;64841;271;11376;336;3747;-;875;2872;1000;2644;27752;14086;1469
01.01.2019;06411;Darmstadt, kreisfreie Stadt;83278;5516;-;5402;72744;47120;23851;137;3901;70;660;-;128;532;320;730;4477;2337;193
01.01.2019;06412;Frankfurt am Main, kreisfreie Stadt;385701;21396;-;20871;336413;194532;134764;617;23480;296;1762;-;440;1322;2033;1725;15430;7485;939
01.01.2019;06413;Offenbach am Main, kreisfreie Stadt;64033;3767;-;3658;55974;36014;18688;111;3523;44;452;-;352;100;206;303;3201;1719;413
01.01.2019;06414;Wiesbaden, kreisfreie Stadt;169849;10718;-;10420;145221;95120;47193;421;8901;311;1838;-;314;1524;2750;914;10921;5388;804
