Migrationshintergrund in Wien gemeldeter Personen nach Geschlecht und Wiener Zaehlbezirk|Migration background of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_ROU;POP_HUN;POP_SYR;POP_RUS;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;91400;91405;2;2134;51;53;63;30;36;11;8;1;2;132;1747;20080101
AT1;AT13;AT130;91400;91406;2;6471;292;141;166;126;122;60;43;4;17;701;4799;20080101
AT1;AT13;AT130;91400;91407;2;1597;94;59;22;32;32;11;6;0;4;153;1184;20080101
AT1;AT13;AT130;91400;91408;2;2093;54;20;40;20;35;11;14;1;3;159;1736;20080101
AT1;AT13;AT130;91400;91409;2;96;5;1;7;1;2;2;1;0;0;11;66;20080101
AT1;AT13;AT130;91400;91410;2;3763;89;37;122;48;30;34;20;0;6;344;3033;20080101
AT1;AT13;AT130;91400;91411;2;3271;11;5;120;34;7;13;20;0;8;251;2802;20080101
AT1;AT13;AT130;91400;91412;2;2843;35;15;85;25;27;16;11;2;8;202;2417;20080101
AT1;AT13;AT130;91400;91499;2;59;1;3;0;2;2;0;1;0;0;4;46;20080101
AT1;AT13;AT130;91500;91501;2;5336;424;302;132;137;180;73;58;3;24;635;3368;20080101
AT1;AT13;AT130;91500;91502;2;4505;561;368;112;202;258;69;35;3;19;774;2104;20080101
AT1;AT13;AT130;91500;91503;2;5571;686;392;128;164;289;116;47;4;40;1036;2669;20080101
AT1;AT13;AT130;91500;91504;2;3412;393;341;57;127;154;49;25;1;29;546;1690;20080101
AT1;AT13;AT130;91500;91505;2;5435;465;304;127;154;206;98;49;7;29;752;3244;20080101
AT1;AT13;AT130;91500;91506;2;6853;909;498;112;251;344;120;47;3;26;940;3603;20080101
AT1;AT13;AT130;91500;91507;2;4495;315;211;67;111;154;42;29;2;14;446;3104;20080101
AT1;AT13;AT130;91500;91599;2;25;6;2;1;0;2;0;0;0;1;6;7;20080101
AT1;AT13;AT130;91600;91601;2;6661;741;632;153;186;254;103;54;3;16;962;3557;20080101
AT1;AT13;AT130;91600;91602;2;3814;532;352;51;168;208;69;40;2;16;603;1773;20080101
AT1;AT13;AT130;91600;91603;2;6283;428;344;123;143;184;43;36;1;37;678;4266;20080101
AT1;AT13;AT130;91600;91604;2;4110;312;220;59;116;128;51;31;3;8;483;2699;20080101
AT1;AT13;AT130;91600;91605;2;7826;775;370;151;275;335;117;48;2;20;978;4755;20080101
AT1;AT13;AT130;91600;91606;2;5188;338;262;87;93;127;40;25;5;15;548;3648;20080101
AT1;AT13;AT130;91600;91607;2;4922;379;275;83;124;137;43;32;2;19;494;3334;20080101
AT1;AT13;AT130;91600;91608;2;1951;34;29;37;18;18;11;15;0;2;127;1660;20080101
AT1;AT13;AT130;91600;91609;2;2797;12;6;111;26;13;7;13;4;8;198;2399;20080101
AT1;AT13;AT130;91600;91610;2;5065;829;578;85;181;279;85;33;2;30;815;2148;20080101
AT1;AT13;AT130;91600;91699;2;22;3;0;0;0;1;1;0;0;0;7;10;20080101
AT1;AT13;AT130;91700;91701;2;5156;574;257;129;171;171;57;37;2;24;730;3004;20080101
AT1;AT13;AT130;91700;91702;2;7007;769;385;155;213;266;82;46;1;39;970;4081;20080101
AT1;AT13;AT130;91700;91703;2;8672;847;393;178;231;348;107;65;4;26;1069;5404;20080101
AT1;AT13;AT130;91700;91704;2;1991;44;6;71;32;16;5;5;1;8;187;1616;20080101
AT1;AT13;AT130;91700;91705;2;3041;80;35;95;33;18;9;17;0;17;270;2467;20080101
AT1;AT13;AT130;91700;91706;2;1211;19;3;45;16;7;8;16;1;10;167;919;20080101
AT1;AT13;AT130;91700;91799;2;55;3;2;1;0;1;0;0;0;1;2;45;20080101
AT1;AT13;AT130;91800;91801;2;1154;8;9;63;16;2;8;12;0;14;178;844;20080101
AT1;AT13;AT130;91800;91802;2;7318;376;184;275;152;133;71;48;7;42;942;5088;20080101
AT1;AT13;AT130;91800;91803;2;7539;637;269;262;190;220;126;64;5;46;1095;4625;20080101
AT1;AT13;AT130;91800;91804;2;4686;134;39;154;76;53;49;45;5;26;479;3626;20080101
AT1;AT13;AT130;91800;91805;2;4786;61;16;213;56;16;19;43;2;46;646;3668;20080101
AT1;AT13;AT130;91800;91899;2;13;1;0;0;1;1;0;0;0;0;0;10;20080101
AT1;AT13;AT130;91900;91901;2;3088;62;38;133;52;25;19;43;7;24;420;2265;20080101
AT1;AT13;AT130;91900;91902;2;5262;242;145;115;84;76;30;53;2;19;684;3812;20080101
AT1;AT13;AT130;91900;91903;2;131;3;4;3;4;1;1;1;0;2;19;93;20080101
AT1;AT13;AT130;91900;91904;2;7312;230;332;256;139;88;53;69;5;60;1056;5024;20080101
AT1;AT13;AT130;91900;91905;2;3688;87;28;166;47;33;25;40;3;32;527;2700;20080101
AT1;AT13;AT130;91900;91906;2;2577;19;15;101;29;14;14;21;4;29;386;1945;20080101
AT1;AT13;AT130;91900;91907;2;1545;21;6;62;17;4;16;14;1;18;219;1167;20080101
AT1;AT13;AT130;91900;91908;2;6804;189;85;205;138;60;38;81;10;27;743;5228;20080101
AT1;AT13;AT130;91900;91909;2;2212;38;21;114;57;23;27;29;5;24;485;1389;20080101
AT1;AT13;AT130;91900;91910;2;4561;53;40;198;61;27;26;44;5;40;552;3515;20080101
AT1;AT13;AT130;91900;91999;2;18;0;0;0;2;0;2;0;0;0;2;12;20080101
AT1;AT13;AT130;92000;92001;2;3920;216;216;42;93;116;25;32;5;18;494;2663;20080101
AT1;AT13;AT130;92000;92002;2;7327;725;646;123;239;261;120;51;4;48;1040;4070;20080101
AT1;AT13;AT130;92000;92003;2;6877;659;643;142;160;213;86;49;0;46;926;3953;20080101
AT1;AT13;AT130;92000;92004;2;4646;228;211;88;144;147;34;39;6;28;759;2962;20080101
AT1;AT13;AT130;92000;92005;2;5594;589;519;129;203;209;119;30;2;29;851;2914;20080101
AT1;AT13;AT130;92000;92006;2;4408;229;327;53;89;97;50;45;5;41;517;2955;20080101
AT1;AT13;AT130;92000;92007;2;6190;353;399;85;167;151;61;67;16;66;792;4033;20080101
AT1;AT13;AT130;92000;92008;2;2814;283;211;43;98;98;41;15;1;15;375;1634;20080101
AT1;AT13;AT130;92000;92099;2;11;2;2;0;1;0;0;0;0;0;0;6;20080101
AT1;AT13;AT130;92100;92101;2;689;17;3;10;7;2;3;3;0;0;20;624;20080101
AT1;AT13;AT130;92100;92102;2;3371;61;28;53;122;43;10;32;2;11;280;2729;20080101
AT1;AT13;AT130;92100;92103;2;2855;33;22;45;74;17;9;22;3;3;207;2420;20080101
AT1;AT13;AT130;92100;92104;2;2066;51;18;30;19;16;35;15;1;5;134;1742;20080101
AT1;AT13;AT130;92100;92105;2;9593;258;361;125;150;104;67;43;7;26;925;7527;20080101
AT1;AT13;AT130;92100;92106;2;427;44;3;5;4;7;2;2;0;1;35;324;20080101
AT1;AT13;AT130;92100;92107;2;1440;52;22;34;49;28;27;9;0;6;141;1072;20080101
AT1;AT13;AT130;92100;92108;2;1209;20;20;17;13;12;4;10;0;1;85;1027;20080101
AT1;AT13;AT130;92100;92109;2;3616;71;54;77;138;29;28;27;8;12;305;2867;20080101
AT1;AT13;AT130;92100;92110;2;2398;115;67;32;46;46;29;14;2;10;233;1804;20080101
AT1;AT13;AT130;92100;92111;2;2560;61;32;49;76;42;20;18;0;29;308;1925;20080101
AT1;AT13;AT130;92100;92112;2;3480;83;212;40;46;38;33;16;8;35;368;2601;20080101
AT1;AT13;AT130;92100;92113;2;1801;24;9;43;18;5;8;8;1;3;138;1544;20080101
